style_name,positive_prompt,negative_prompt
No Style | Без стиля,,
Sony ZV-1 Content Creation | Контент Sony ZV-1,"Sony ZV-1, fixed 24-70mm equivalent f/1.8-2.8 lens at 35mm, f/2.8 aperture, 1/125s shutter speed, ISO 400, product showcase lighting, social media influencer photography","blurry background, cartoon products, anime style, illustration, poor focus, amateur lighting"
Nikon D3500 Beginner Friendly | Для начинающих Nikon D3500,"Nikon D3500, AF-P DX NIKKOR 18-55mm f/3.5-5.6G VR at 35mm, f/5.6 aperture, 1/125s shutter speed, ISO 200, auto mode photography, family snapshots, learning photography","blurry photos, cartoon subjects, anime style, illustration, poor exposure, motion blur"
Olympus OM-D E-M1 III Micro Four Thirds | Micro Four Thirds Olympus OM-D E-M1 III,"Olympus OM-D E-M1 III, M.Zuiko Digital ED 12-40mm f/2.8 PRO at 25mm, f/4.0 aperture, 1/125s shutter speed, ISO 200, in-body stabilization advantage, travel photography","blurry handheld, cartoon landscape, anime style, illustration, poor stabilization, noise"
Panasonic S1R High Resolution | Высокое разрешение Panasonic S1R,"Panasonic S1R, Lumix S PRO 50mm f/1.4 lens, f/8.0 aperture, 1/125s shutter speed, ISO 100, 47.3MP resolution, landscape detail photography, focus stacking","blurry details, cartoon landscape, anime style, illustration, noise reduction overdone, poor sharpening"
Canon PowerShot G7 X III Compact | Компакт Canon PowerShot G7 X III,"Canon PowerShot G7 X III, 24-100mm equivalent f/1.8-2.8 lens at 35mm, f/2.8 aperture, 1/125s shutter speed, ISO 400, travel compact photography, street life documentary","blurry compact camera look, cartoon subjects, anime style, illustration, poor low light performance, noise"
Sony RX100 VII Premium Compact | Премиум компакт Sony RX100 VII,"Sony RX100 VII, 24-200mm equivalent f/2.8-4.5 lens at 50mm, f/4.0 aperture, 1/125s shutter speed, ISO 200, premium compact photography, event coverage","blurry zoom, cartoon subjects, anime style, illustration, poor low light, noise at high ISO"
Nikon COOLPIX P1000 Superzoom | Суперзум Nikon COOLPIX P1000,"Nikon COOLPIX P1000, 24-3000mm equivalent lens at 1000mm, f/8.0 aperture, 1/500s shutter speed, ISO 400, bird photography from distance, superzoom advantage","blurry telephoto, cartoon birds, anime style, illustration, camera shake, poor image quality"
Fujifilm XP150 Waterproof | Водонепроницаемый Fujifilm XP150,"Fujifilm XP150, 28-140mm equivalent f/3.9-4.9 lens at 35mm, f/5.6 aperture, 1/125s shutter speed, ISO 200, underwater photography at 10m depth, beach vacation","blurry underwater, cartoon sea life, anime style, illustration, poor waterproof housing, condensation"
GoPro HERO11 Action | Экшен GoPro HERO11,"GoPro HERO11, fixed wide-angle lens, f/2.8 aperture, 1/240s shutter speed, ISO 200, mountain biking POV footage still, action sports photography, distortion correction","blurry action, cartoon sports, anime style, illustration, excessive fisheye, poor stabilization"
DJI Mavic 3 Aerial | Аэро DJI Mavic 3,"DJI Mavic 3, Hasselblad 4/3 CMOS sensor, 24mm equivalent f/2.8 lens, f/5.6 aperture, 1/125s shutter speed, ISO 100, aerial landscape photography, golden hour drone shot","blurry drone photo, cartoon landscape, anime style, illustration, propeller visible, poor composition"
Insta360 X3 360-Degree | 360-градусный Insta360 X3,"Insta360 X3, dual 1/2-inch sensors, 360-degree photography, f/2.0 aperture, 1/125s shutter speed, ISO 200, immersive photography, virtual tour creation","blurry 360, cartoon environment, anime style, illustration, stitching errors, poor perspective"
Canon EOS R5 C Cinema | Кинематограф Canon EOS R5 C,"Canon EOS R5 C, Canon RF 35mm f/1.8 IS Macro STM lens, f/2.8 aperture, 1/50s shutter speed, ISO 800, cinematic lighting setup, shallow depth of field, film look grading","blurry cinema, cartoon film, anime style, illustration, poor color grading, amateur lighting"
Blackmagic Pocket Cinema 6K Pro | Кино Blackmagic,"Blackmagic Pocket Cinema 6K Pro, Sigma 18-35mm f/1.8 DC HSM Art lens, f/2.0 aperture, 1/48s shutter speed, ISO 400, professional cinema lighting, anamorphic flare effect","blurry cinema, cartoon movie, anime style, illustration, poor focus pull, amateur cinematography"
RED Komodo 6K Professional Video | Видео RED Komodo,"RED Komodo 6K, Canon EF 50mm f/1.2L USM lens, f/2.0 aperture, 1/50s shutter speed, ISO 800, professional film set lighting, cinematic color grading, shallow depth of field","blurry video still, cartoon film, anime style, illustration, poor production value, amateur setup"
ARRI ALEXA Mini LF | Кино ARRI,"ARRI ALEXA Mini LF, ARRI Master Prime 50mm T1.3 lens, f/2.0 aperture, 1/48s shutter speed, ISO 800, professional film lighting setup, cinematic look, skin tone perfection","blurry cinema, cartoon movie, anime style, illustration, poor lighting, amateur cinematography"
Phase One IQ4 150MP Technical | Технический Phase One,"Phase One IQ4 150MP, Schneider Kreuznach 80mm f/2.8 LS lens, f/8.0 aperture, 1/30s shutter speed, ISO 50, studio product photography, focus stacking, 151 megapixel detail","blurry technical photo, cartoon product, anime style, illustration, poor focus stacking, noise"
Hasselblad H6D-400c MS | Мультишот Hasselblad,"Hasselblad H6D-400c MS, HC 100mm f/2.2 lens, f/5.6 aperture, 1/60s shutter speed, ISO 50, multi-shot high resolution photography, art reproduction quality, 400MP equivalent","blurry multi-shot, cartoon art, anime style, illustration, poor alignment, stitching errors"
Leica S3 Medium Format | Средний формат Leica S3,"Leica S3, Leica TS-APO-ELMAR-S 1:5.6/120mm ASPH lens, f/8.0 aperture, 1/125s shutter speed, ISO 100, medium format landscape photography, exceptional detail resolution","blurry medium format, cartoon landscape, anime style, illustration, poor detail, noise"
Pentax 645Z Studio | Студия Pentax 645Z,"Pentax 645Z, D FA 645 55mm f/2.8 AL SDM AW lens, f/5.6 aperture, 1/125s shutter speed, ISO 100, studio portrait photography, medium format skin texture, commercial quality","blurry studio photo, cartoon portrait, anime style, illustration, poor lighting, amateur retouching"
Canon EOS R5 Animal Eye AF | Глаза животных Canon EOS R5,"Canon EOS R5, Canon RF 70-200mm f/2.8L IS USM at 200mm, f/4.0 aperture, 1/1000s shutter speed, ISO 800, animal eye autofocus tracking, wildlife behavior photography","blurry animal eyes, cartoon wildlife, anime style, illustration, poor focus, cage visible"
Sony A7IV Subject Recognition | Распознавание Sony A7IV,"Sony A7IV, Sony FE 85mm f/1.4 GM lens, f/2.0 aperture, 1/125s shutter speed, ISO 400, AI subject recognition autofocus, event photography, reliable focus tracking","blurry subject recognition, cartoon people, anime style, illustration, poor focus tracking, missed shots"
Nikon Z9 3D Tracking | 3D трекинг Nikon Z9,"Nikon Z9, Nikon Z 70-200mm f/2.8 VR S lens at 200mm, f/2.8 aperture, 1/2000s shutter speed, ISO 1600, 3D focus tracking, sports action photography, high speed burst","blurry tracking, cartoon sports, anime style, illustration, poor focus tracking, motion blur"
Fujifilm X-H2 Pixel Shift | Пиксель-шифт Fujifilm X-H2,"Fujifilm X-H2, XF 33mm f/1.4 R LM WR lens, f/5.6 aperture, 1/60s shutter speed, ISO 100, pixel shift multi-shot mode, landscape detail photography, high resolution output","blurry pixel shift, cartoon landscape, anime style, illustration, poor alignment, ghosting artifacts"
Leica SL2-S High ISO | Высокий ISO Leica SL2-S,"Leica SL2-S, APO-Summicron-SL 35mm f/2 ASPH lens, f/2.8 aperture, 1/60s shutter speed, ISO 12800, available light photojournalism, high ISO performance management, grain structure","blurry high ISO, cartoon subjects, anime style, illustration, excessive noise reduction, plastic skin"
Canon EOS R6 II IBIS | Стабилизация Canon EOS R6 II,"Canon EOS R6 II, Canon RF 24-105mm f/4L IS USM at 105mm, f/4.0 aperture, 1/30s shutter speed, ISO 800, in-body image stabilization, handheld low light photography","blurry IBIS, cartoon night, anime style, illustration, camera shake, poor stabilization"
Sony A7S III Starlight Sensor | Звездный свет Sony A7S III,"Sony A7S III, Sony FE 20mm f/1.8 G lens, f/1.8 aperture, 20-second shutter speed, ISO 6400, astrophotography with starlight sensor, Milky Way photography, minimal noise","blurry stars, cartoon night sky, anime style, illustration, light pollution, excessive noise"
Nikon Z8 Hybrid Shooter | Гибрид Nikon Z8,"Nikon Z8, Nikon Z 24-70mm f/2.8 S lens at 50mm, f/2.8 aperture, 1/125s shutter speed, ISO 400, hybrid photo-video shooting, event coverage, professional workflow","blurry hybrid, cartoon event, anime style, illustration, poor switching, amateur setup"
Fujifilm GFX 50S II | GFX 50S II Fujifilm,"Fujifilm GFX 50S II, GF 45mm f/2.8 R WR lens, f/5.6 aperture, 1/125s shutter speed, ISO 100, medium format portrait photography, skin texture perfection, Fujifilm color science","blurry medium format, cartoon portrait, anime style, illustration, poor color grading, noise"
Hasselblad X2D 100C | X2D 100C Hasselblad,"Hasselblad X2D 100C, XCD 30mm f/3.5 lens, f/8.0 aperture, 1/60s shutter speed, ISO 100, 100MP medium format photography, architectural detail, perspective control","blurry 100MP, cartoon architecture, anime style, illustration, poor detail resolution, noise"
Pentax K-3 III | K-3 III Pentax,"Pentax K-3 III, HD Pentax-D FA 24-70mm f/2.8 ED SDM WR at 50mm, f/4.0 aperture, 1/125s shutter speed, ISO 800, APS-C high performance photography, weather sealed shooting","blurry APS-C, cartoon subjects, anime style, illustration, poor weather sealing, dust spots"
Canon EOS R7 Crop Sensor Advantage | Кроп-сенсор Canon EOS R7,"Canon EOS R7, Canon RF-S 18-150mm f/3.5-6.3 IS STM at 150mm, f/6.3 aperture, 1/1000s shutter speed, ISO 800, crop sensor wildlife photography, reach advantage, bird in flight","blurry crop sensor, cartoon birds, anime style, illustration, poor reach, noise at high ISO"
Sony A6700 APS-C Flagship | Флагман APS-C Sony A6700,"Sony A6700, Sony E 16-55mm f/2.8 G at 35mm, f/4.0 aperture, 1/125s shutter speed, ISO 400, APS-C flagship performance, professional travel photography, AI autofocus","blurry APS-C flagship, cartoon travel, anime style, illustration, poor autofocus, amateur composition"
Nikon Z50 Entry Level Mirrorless | Входной беззеркальный Nikon Z50,"Nikon Z50, NIKKOR Z DX 16-50mm f/3.5-5.6 VR at 35mm, f/5.6 aperture, 1/125s shutter speed, ISO 400, entry level mirrorless photography, beginner friendly, auto modes","blurry entry level, cartoon beginner, anime style, illustration, poor image quality, noise"
Fujifilm X-T5 Retro Digital | Ретро-цифровой Fujifilm X-T5,"Fujifilm X-T5, XF 23mm f/1.4 R LM WR lens, f/2.8 aperture, 1/125s shutter speed, ISO 400, retro digital design, film simulation photography, mechanical dials experience","blurry retro design, cartoon dials, anime style, illustration, poor ergonomics, fake vintage"
Panasonic GH6 Video Hybrid | Гибрид видео Panasonic GH6,"Panasonic GH6, Lumix G VARIO 12-35mm f/2.8 II at 25mm, f/4.0 aperture, 1/125s shutter speed, ISO 400, Micro Four Thirds video hybrid photography, professional video stills","blurry video hybrid, cartoon video, anime style, illustration, poor stills quality, noise"
Olympus OM-1 AI Photography | ИИ-фотография Olympus OM-1,"Olympus OM-1, M.Zuiko Digital ED 12-40mm f/2.8 PRO at 25mm, f/4.0 aperture, 1/125s shutter speed, ISO 400, AI subject detection photography, computational photography advantages","blurry AI photography, cartoon AI, anime style, illustration, fake computational effects, poor processing"
Canon EOS R50 Budget Friendly | Бюджетный Canon EOS R50,"Canon EOS R50, RF-S 18-45mm f/4.5-6.3 IS STM at 35mm, f/5.6 aperture, 1/125s shutter speed, ISO 400, budget friendly mirrorless photography, learning photography, auto modes","blurry budget camera, cartoon beginner, anime style, illustration, poor image quality, noise at high ISO"
Sony ZV-E10 Content Creator | Создатель контента Sony ZV-E10,"Sony ZV-E10, Sony E 16-50mm f/3.5-5.6 OSS at 35mm, f/4.0 aperture, 1/125s shutter speed, ISO 400, content creator photography, vlogging stills, social media optimized","blurry content creator, cartoon influencer, anime style, illustration, poor lighting, amateur setup"
Nikon Z30 Vlogging | Влоггинг Nikon Z30,"Nikon Z30, NIKKOR Z DX 16-50mm f/3.5-5.6 VR at 35mm, f/4.0 aperture, 1/125s shutter speed, ISO 400, vlogging photography, social media content creation, compact design","blurry vlogging, cartoon vlogger, anime style, illustration, poor stabilization, amateur lighting"
Fujifilm X-E4 Minimalist | Минималист Fujifilm X-E4,"Fujifilm X-E4, XF 27mm f/2.8 lens, f/4.0 aperture, 1/125s shutter speed, ISO 400, minimalist photography design, compact street photography, film simulation workflow","blurry minimalist, cartoon compact, anime style, illustration, poor ergonomics, fake minimalism"
Leica CL Compact Luxury | Компакт-люкс Leica CL,"Leica CL, APO-ELMARIT-SL 35mm f/2.8 ASPH lens, f/4.0 aperture, 1/125s shutter speed, ISO 400, compact luxury photography, Leica M mount compatibility, premium build quality","blurry luxury compact, cartoon Leica, anime style, illustration, poor value, fake luxury"
Canon G5 X Mark II Premium Compact | Премиум-компакт Canon G5 X Mark II,"Canon G5 X Mark II, 8.8-44.0mm f/1.8-2.8 lens at 24mm equivalent, f/2.8 aperture, 1/125s shutter speed, ISO 400, premium compact photography, travel documentary style","blurry premium compact, cartoon travel, anime style, illustration, poor low light performance, noise"
Sony RX1R II Full Frame Compact | Полный кадр Sony RX1R II,"Sony RX1R II, fixed 35mm f/2 Zeiss Sonnar T* lens, f/4.0 aperture, 1/125s shutter speed, ISO 100, full frame compact photography, street life documentary, exceptional detail","blurry full frame compact, cartoon street, anime style, illustration, poor ergonomics, overheating"
Nikon P1000 Extreme Zoom | Экстремальный зум Nikon P1000,"Nikon P1000, 24-3000mm equivalent lens at 3000mm, f/8.0 aperture, 1/500s shutter speed, ISO 400, extreme zoom photography, bird watching from distance, superzoom advantage","blurry extreme zoom, cartoon birds, anime style, illustration, excessive camera shake, poor image quality"
Fujifilm XP140 Waterproof | Водонепроницаемый Fujifilm XP140,"Fujifilm XP140, 28-140mm equivalent f/3.9-4.9 lens at 35mm, f/5.6 aperture, 1/125s shutter speed, ISO 200, waterproof photography to 25m depth, beach vacation memories","blurry waterproof, cartoon beach, anime style, illustration, poor underwater housing, condensation issues"
GoPro HERO10 Action | Экшен GoPro HERO10,"GoPro HERO10, fixed wide-angle lens, f/2.8 aperture, 1/240s shutter speed, ISO 200, action sports photography, mountain biking POV shots, HyperSmooth stabilization","blurry action sports, cartoon extreme, anime style, illustration, excessive fisheye distortion, poor low light"
DJI Air 2S Aerial | Аэро DJI Air 2S,"DJI Air 2S, 1-inch CMOS sensor, 22mm equivalent f/2.8 lens, f/5.6 aperture, 1/125s shutter speed, ISO 100, aerial landscape photography, cinematic drone shots, obstacle avoidance","blurry drone photography, cartoon landscape, anime style, illustration, propeller visible in frame, poor composition"
Insta360 ONE RS 360 | 360-градусный Insta360 ONE RS,"Insta360 ONE RS, dual 1/1.3-inch sensors, 360-degree photography, f/2.0 aperture, 1/125s shutter speed, ISO 200, immersive 360 photography, virtual reality content creation","blurry 360 photography, cartoon VR, anime style, illustration, stitching errors, poor perspective correction"
Canon EOS R5 C Hybrid Cinema | Гибридное кино Canon EOS R5 C,"Canon EOS R5 C, Canon RF 50mm f/1.2L USM lens, f/2.0 aperture, 1/48s shutter speed, ISO 800, hybrid photo-cinema workflow, professional film set lighting, cinema grade color science","blurry cinema hybrid, cartoon film set, anime style, illustration, poor color grading, amateur cinematography"
Sony FX3 Cinema | Кино Sony FX3,"Sony FX3, Sony FE 24mm f/1.4 GM lens, f/2.0 aperture, 1/48s shutter speed, ISO 800, cinema camera photography stills, professional lighting setup, film look color grading","blurry cinema camera, cartoon movie set, anime style, illustration, poor focus pulling, amateur cinematography"
