style_name,positive_prompt,negative_prompt
No Style | Без стиля,,
Sunrise Drama | Sunrise драма,"драматический стиль студии Sunrise, эстетика арочных персонажей серии Gundam, детализированные эмоциональные выражения, драматическое освещение, фокус на человеческой драме, качество визуального аниме 1980-х годов, традиционные анимационные техники","современный 3D рендеринг, западная мультяшная анимация, мультяшная комедия, яркие радостные цвета, простые дизайны персонажей, современная эстетика аниме"
Gainax Drama | Gainax драма,"драматический стиль студии Gainax, эстетика психологических исследований персонажей Neon Genesis Evangelion, детализированное психологическое развитие персонажей, драматические световые контрасты, сложная нарративная структура, качество визуального аниме 1990-х годов","традиционный стиль аниме, западная мультяшная анимация, яркие радостные цвета, простые дизайны персонажей, анимация сфокусированная на комедии, мейнстримный визуальный подход"
CoMix Wave Films Drama | CoMix Wave драма,"драматический стиль студии CoMix Wave Films, эстетика отношений персонажей Your Name, фотореалистичные фоны, детализированные эмоциональные выражения, мягкие световые эффекты, кинематографическая композиция","сцены сфокусированные на экшене, западная мультяшная анимация, темные взрослые темы, 3D рендеринг, сложные фоны, яркие радостные цвета"
White Fox Drama | White Fox драма,"драматический стиль студии White Fox, эстетика развития персонажей Steins;Gate, детализированные эмоциональные выражения, мягкие световые эффекты, драматические взаимодействия персонажей, сложная нарративная структура","сцены сфокусированные на экшене, западная мультяшная анимация, темные взрослые темы, 3D рендеринг, сложные фоны, яркие радостные цвета"
David Production Drama | David Production драма,"драматический стиль студии David Production, эстетика арочных персонажей JoJo's Bizarre Adventure, детализированные эмоциональные выражения, драматические световые эффекты, сложные исследования персонажей, стилизованное визуальное повествование","традиционный стиль аниме, западная мультяшная анимация, реалистичные пропорции, детализированные фоны, качество анимации Disney, конвенциональный визуальный подход"
Tatsunoko Production Drama | Tatsunoko Productions драма,"драматический стиль студии Tatsunoko Production, эстетика развития персонажей Gatchaman, качество визуального аниме 1970-х годов, детализированные эмоциональные выражения, драматическое освещение, сериализованное повествование, анимация на целлулоиде","современный CGI рендеринг, западная мультяшная анимация, 3D эффекты, фотореалистичные текстуры, современная эстетика аниме, экспериментальные анимационные техники"
Bones Sci-Fi | Bones научная фантастика,"стиль научной фантастики студии Bones, эстетика Fullmetal Alchemist Brotherhood, детализированные алхимические эффекты, реалистичные пропорции человека, сложная нарративная структура, техники кинематографического освещения","стиль мультяшной комедии, западная мультяшная анимация, яркие радостные цвета, простые дизайны персонажей, традиционные фоны, ограниченная анимация"
MAPPA Sci-Fi | MAPPA научная фантастика,"стиль научной фантастики студии MAPPA, эстетика построения мира Jujutsu Kaisen, детальная наука проклятий, темное атмосферное освещение, реалистичные пропорции человека, психологическое напряжение, взрослые темы","яркие радостные цвета, западная мультяшная анимация, мультяшная комедия, семейные темы, традиционные фоны, простые дизайны персонажей"
Kyoto Animation Sci-Fi | Киото научная фантастика,"стиль научной фантастики студии Kyoto Animation, эстетика научно-фантастических элементов Clannad, детализированные эмоциональные выражения, мягкая цветовая палитра, мягкое повествование, красивое фоновое искусство","сцены сфокусированные на экшене, западная мультяшная анимация, темные взрослые темы, 3D рендеринг, сложные фоны, драматические световые эффекты"
Ufotable Sci-Fi | Ufotable научная фантастика,"стиль научной фантастики студии Ufotable, эстетика науки магии серии Fate, детализированные магические эффекты, яркие анимации частиц, драматические световые контрасты, кинематографическая композиция, театральное качество","техника ограниченной анимации, западная мультяшная анимация, только ручная 2D анимация, традиционные фоны, плоские цвета, простые дизайны персонажей"
Madhouse Action | Madhouse экшен,"стиль экшен студии Madhouse, эстетика One Punch Man, детализированные боевые последовательности, преувеличенные выражения персонажей, динамичные ракурсы камеры, яркие энергетические эффекты, современное качество аниме","анимация в стиле Disney, западная мультяшная анимация, мультяшная комедия, яркие радостные цвета, простые дизайны персонажей, традиционные фоны"
Toei Animation Sci-Fi | Toei научная фантастика,"стиль научной фантастики студии Toei Animation, эстетика космической саги Dragon Ball Z, качество визуального аниме 1990-х годов, детализированные энергетические эффекты, анимация на целлулоиде, яркая цветовая палитра, сериализованное повествование","современный CGI рендеринг, западная мультяшная анимация, 3D эффекты, фотореалистичные текстуры, современная эстетика аниме, экспериментальные анимационные техники"
A-1 Pictures Action | A-1 Pictures экшен,"стиль экшен студии A-1 Pictures, эстетика боевых последовательностей Sword Art Online, детализированные сцены мечевых боев, яркие энергетические эффекты, динамичные ракурсы камеры, современные дизайны персонажей, современное качество аниме","классический стиль аниме 1980-х годов, западная мультяшная анимация, ограниченная анимация, традиционные фоны, ручная покраска целлулоидов, фокус на романтике"
Wit Studio Action | Wit Studio экшен,"стиль экшен студии Wit Studio, эстетика битв с титанами Attack on Titan, детализированные военные последовательности, реалистичные пропорции человека, драматическое освещение, кинематографический масштаб, интенсивная хореография экшен","яркие радостные цвета, западная мультяшная анимация, мультяшная комедия, современные цифровые эффекты, простые дизайны персонажей, традиционные японские настройки"
CloverWorks Action | CloverWorks экшен,"стиль экшен студии CloverWorks, эстетика интенсивных моментов Kaguya-sama, детализированные боевые последовательности, выразительные эмоции персонажей, динамичные ракурсы камеры, современное качество визуального аниме","темные взрослые темы, западная мультяшная анимация, фокус на романтике, 3D рендеринг, сложные фоны, драматические световые эффекты"
J.C.Staff Action | J.C.Staff экшен,"стиль экшен студии J.C.Staff, эстетика боевых последовательностей A Certain Magical Index, детализированные магические эффекты, динамичные сценки экшен, современные дизайны персонажей, яркие энергетические эффекты, современное качество аниме","классический стиль аниме 1980-х годов, западная мультяшная анимация, ограниченная анимация, традиционные фоны, ручная покраска целлулоидов, фокус на романтике"
