style_name,positive_prompt,negative_prompt
No Style | Без стиля,,
Dip Pen Narrative Illustration | Перо нарратив,"нарративная иллюстрация пером, композиция последовательных панелей, фокус на повествовании, детали выражений персонажей, эстетика винтажного комикса, техника штриховки для затенения, фоновые разводы чернил","цифровое искусство комиксов, аниме стиль, мультяшные пропорции, цветовые заливки, гладкие градиенты, современная цифровая раскраска, 3D эффекты"
Brush Ink Portrait | Кисть портрет,"портрет кистью и чернилами, экспрессивные жестовые мазки, минимальное количество мазков, передача эмоциональной сущности, текстура рисовой бумаги, градация монохромных тонов, влияние дзен-буддизма","фотореалистичный рендеринг, аниме стиль, мультяшные пропорции, цветовые заливки, детальное затенение, гладкие градиенты, рисование в западной перспективе"
Ballpoint Pen Mandala | Шариковая мандала,"мандала шариковой ручкой, сложная работа с геометрическими узорами, техника точечной штриховки для затенения, медитативные повторяющиеся знаки, круговая композиция, текстура бумаги для записной книжки, эстетика личной духовной практики","цифровое искусство, аниме стиль, мультяшные пропорции, цветовые заливки, гладкие градиенты, профессиональные инструменты, векторные узоры, компьютерно-сгенерированный дизайн"
Mechanical Pencil Perspective | Механический перспектива,"перспективный рисунок механическим карандашом, мастерство одноточечной сходящейся перспективы, исследование архитектурного интерьера, точность конструктивных линий, измеренная точность масштаба, фон миллиметровой бумаги, эстетика технического черчения","художественная интерпретация, аниме стиль, мультяшные пропорции, цветовые заливки, экспрессивная техника кисти, эмоциональный рендеринг, свободные набросочные линии"
Conte Landscape | Контэ пейзаж,"пейзаж мелками контэ, классическая европейская техника, мастерство атмосферной перспективы, мягкие размытые края, интеграция текстуры зернистой бумаги, романтическая атмосфера настроения, градация монохромных тонов","фотореалистичная передача цвета, аниме стиль, мультяшные пропорции, цифровые эффекты, гладкие градиенты, яркие насыщенные цвета, векторные линии"
Technical Cutaway | Технический разрез,"иллюстрация разреза в техническом стиле, экспозиция внутренностей механизмов, система маркировки деталей, вид прозрачного сечения, точность инженерной диаграммы, эстетика инструкции, чистая вариация толщин линий","художественная интерпретация, аниме стиль, мультяшные пропорции, цветовые заливки, экспрессивная техника кисти, эмоциональный рендеринг, декоративные элементы"
Graphite Gesture Drawing | Графитный жест,"жестовой рисунок графитом, захват позы за 60 секунд, экономия линий, указание основной формы, видимая текстура бумаги, эстетика класса рисования с натуры, суть динамичного движения","готовое произведение искусства, аниме стиль, мультяшные пропорции, цветовые заливки, детальная прорисовка, гладкие градиенты, статичная поза, фотореалистичные детали"
Charcoal Abstraction | Угольная абстракция,"абстрактный рисунок углем, экспрессивные жестовые мазки, драматические контрасты тонов, доминирующая текстура зерна бумаги, фокус на эмоциональной атмосфере, исследование монохромной глубины, спонтанное творчество","фотореалистичное представление, аниме стиль, мультяшные пропорции, цветовые заливки, гладкие градиенты, планируемая композиция, детальное изображение предметов"
Dip Pen Scientific | Перо научный,"научная иллюстрация пером, точность анатомических деталей, работа с деталями поперечных сечений, эстетика винтажного учебника, точная система маркировки, фон разводов чернил, документация академических исследований","цифровое искусство, аниме стиль, мультяшные пропорции, цветовые заливки, гладкие градиенты, художественная интерпретация, современный рендеринг, 3D эффекты"
Sumi-e Floral Study | Суми-э цветы,"исследование цветов суми-э, традиционная азиатская техника кисти, минимальное количество мазков, передача духовной сущности, мастерство градаций чернил, текстура рисовой бумаги, фокус на сезонной теме","фотореалистичный рендеринг, аниме стиль, мультяшные пропорции, цветовые заливки, цифровые эффекты, детальное затенение, западная перспектива, яркие насыщенные цвета"
Fountain Pen Travel | Перо путешествия,"путевой скетч чернильной ручкой, тонкие линии ручки Lamy, текстура бумаги Moleskine, быстрый захват местоположения, наблюдение архитектурных деталей, эстетика личного журнала, эффекты перьевания чернил","цифровое искусство, аниме стиль, мультяшные пропорции, цветовые заливки, гладкие градиенты, качество профессиональной иллюстрации, векторные линии, студийное освещение"
Graphite Animal Study | Графитный животные,"исследование животных графитом, детальная прорисовка текстуры шерсти, анатомическая точность, фокус на выразительных глазах, точность падающих теней, видимая текстура зерна бумаги, эстетика наблюдения за дикой природой","фотореалистичная передача цвета, аниме стиль, мультяшные пропорции, цветовые заливки, цифровые эффекты, гладкие градиенты, антропоморфные черты"
Charcoal Portrait | Угольный портрет,"портрет углем, драматическое освещение киароскуро, доминирование текстуры виноградного угля, блики ластиком, фокус на эмоциональном выражении, мастерство монохромной глубины, техника классического ателье","яркие радостные цвета, аниме стиль, мультяшные пропорции, цветовые заливки, цифровые эффекты, гладкие градиенты, фотореалистичный рендеринг, минимальная текстура"
Technical Schematic | Техническая схема,"техническая схема в стиле диаграммы, чертеж электрической цепи, система маркировки компонентов, композиция блок-схемы, инженерная точность, вариация чистых толщин линий, эстетика инструкции","художественная интерпретация, аниме стиль, мультяшные пропорции, цветовые заливки, экспрессивная техника кисти, эмоциональный рендеринг, декоративные элементы, качество ручного наброска"
Dip Pen Mythological | Перо мифология,"мифологическая иллюстрация пером, точные детали костюмов периода, точность архитектурного фона, техника штриховки для затенения, эстетика винтажной гравюры, текстура пергамента, фокус на образовательном повествовании","цифровое искусство, аниме стиль, мультяшные пропорции, цветовые заливки, гладкие градиенты, современные темы, современный стиль, 3D эффекты"
Brush Ink Landscape | Кисть пейзаж,"пейзаж кистью и чернилами, экспрессивные жестовые мазки, техника атмосферной перспективы, градация монохромных тонов, эффекты поглощения рисовой бумаги, минималистичная композиция, духовная связь с природой","фотореалистичный рендеринг, аниме стиль, мультяшные пропорции, цветовые заливки, детальные элементы переднего плана, гладкие градиенты, западная перспектива, яркие насыщенные цвета"
Ballpoint Pen Abstract | Шариковая абстракция,"абстрактный рисунок шариковой ручкой, спонтанные жестовые мазки, техника текстуры точечной штриховки, доминирующая текстура бумаги для записной книжки, фокус на эмоциональном выражении, исследование повторяющихся узоров, эстетика доступной художественной техники","цифровое искусство, аниме стиль, мультяшные пропорции, цветовые заливки, гладкие градиенты, профессиональные инструменты, планируемая композиция, векторные линии"
Mechanical Pencil Botanical | Механический ботаника,"ботаническая иллюстрация механическим карандашом, точность научной детализации, детальная работа анатомии растений, маркировка поперечных сечений, эстетика винтажного гербария, интеграция текстуры бумаги, качество академических исследований","художественная интерпретация, аниме стиль, мультяшные пропорции, цветовые заливки, экспрессивная техника кисти, эмоциональный рендеринг, качество случайного наброска, цифровой рендеринг"
Conte Portrait Study | Контэ портрет,"исследование портрета мелками контэ, техника классического ателье, разделение теплых и холодных тонов, интеграция текстуры зернистой бумаги, анатомическая точность, фокус на выразительном лице, монохромная гармония","фотореалистичная передача цвета, аниме стиль, мультяшные пропорции, цветовые заливки, цифровые эффекты, гладкие градиенты, яркие радостные цвета, минимальная текстура"
Technical Flow Chart | Техническая диаграмма,"иллюстрация блок-схемы, композиция диаграммы процесса, система маркировки точек принятия решений, система стрелок направленности, инженерная точность, вариация чистых толщин линий, эстетика бизнес-презентации, фокус на профессиональной ясности","художественная интерпретация, аниме стиль, мультяшные пропорции, цветовые заливки, экспрессивная техника кисти, эмоциональный рендеринг, декоративные элементы, качество ручного наброска, эстетика случайного каракуля"
Graphite Cityscape | Графитный город,"городской пейзаж графитом, исследование урбанистической архитектуры, детальная прорисовка фасадов зданий, техника атмосферной перспективы, точность падающих теней, видимая текстура бумаги, эффекты ночного уличного освещения","фотореалистичная передача цвета, аниме стиль, мультяшные пропорции, цветовые заливки, цифровые эффекты, гладкие градиенты, яркая радостная дневная сцена, векторные линии"
Charcoal Figure Composition | Угольная фигура композиция,"композиция фигур углем, arrangемент множества фигур, драматические эффекты освещения, интеграция текстуры зерна бумаги, техника выделения ластиком, фокус на эмоциональном нарративе, мастерство монохромной глубины","яркие цвета, аниме стиль, мультяшные пропорции, цветовые заливки, цифровые эффекты, гладкие градиенты, фокус на одной фигуре, фотореалистичный рендеринг"
Dip Pen Historical | Перо исторический,"историческая иллюстрация пером, точные детали костюмов периода, точность архитектурного фона, техника штриховки для затенения, эстетика винтажной гравюры, текстура пергамента, фокус на образовательном повествовании","цифровое искусство, аниме стиль, мультяшные пропорции, цветовые заливки, гладкие градиенты, современные темы, современный стиль, 3D эффекты"
Sumi-e Animal Study | Суми-э животные,"исследование животных суми-э, традиционная азиатская техника кисти, минимальное количество мазков, передача духовной сущности, мастерство градаций чернил, текстура рисовой бумаги, фокус на символическом значении","фотореалистичный рендеринг, аниме стиль, мультяшные пропорции, цветовые заливки, цифровые эффекты, детальное затенение, западная перспектива, яркие насыщенные цвета, антропоморфные черты"
Fountain Pen Interior | Перо интерьер,"интерьерный скетч чернильной ручкой, наблюдение архитектурных деталей, изучение расположения мебели, конструкция перспективы, указание света и тени, текстура бумаги Moleskine, эстетика профессионального дизайна","цифровой рендеринг, аниме стиль, мультяшные пропорции, цветовые заливки, 3D моделирование, гладкие градиенты, качество случайного наброска, эффекты студийного освещения"
Graphite Abstraction | Графитная абстракция,"абстрактный рисунок графитом, экспрессивные жестовые мазки, исследование тоновых значений, доминирующая текстура зерна бумаги, нерепрезентативная композиция, фокус на эмоциональной атмосфере, спонтанное творчество","фотореалистичное представление, аниме стиль, мультяшные пропорции, цветовые заливки, гладкие градиенты, планируемая композиция, детальное изображение предметов, декоративные элементы"
Charcoal Landscape | Угольный пейзаж,"пейзаж углем, драматический вид гор, эффекты грозового неба, интеграция текстуры зернистой бумаги, техника выделения ластиком для облаков, мастерство атмосферной перспективы, мрачная атмосфера природы","яркие радостные цвета, аниме стиль, мультяшные пропорции, цветовые заливки, цифровые эффекты, гладкие градиенты, дневная спокойная сцена, фотореалистичный рендеринг, минимальная сложность текстуры"
Dip Pen Decorative | Перо декоративный,"декоративная иллюстрация пером, сложные узоры границ, цветочные и геометрические мотивы, техника штриховки для затенения, эстетика викторианской эпохи, текстура пергамента, композиция орнаментальной рамки","цифровое искусство, аниме стиль, мультяшные пропорции, цветовые заливки, гладкие градиенты, современный минимализм, современные темы, 3D эффекты, чистый векторный дизайн"
Brush Ink Figure | Кисть фигура,"рисунок фигуры кистью и чернилами, экспрессивные жестовые мазки, минимальное количество мазков, захват эмоционального движения, текстура рисовой бумаги, градация монохромных тонов, влияние дзен-буддизма, спонтанная энергия","фотореалистичный рендеринг, аниме стиль, мультяшные пропорции, цветовые заливки, детальная анатомическая точность, гладкие градиенты, западная перспектива, планируемая композиция"
Ballpoint Pen Pattern | Шариковая узор,"рисунок узора шариковой ручкой, повторяющиеся геометрические дизайны, техника текстуры точечной штриховки, выравнивание по сетке бумаги для записной книжки, процесс медитативного создания, личное художественное выражение, эстетика доступной техники","цифровое искусство, аниме стиль, мультяшные пропорции, цветовые заливки, гладкие градиенты, профессиональные инструменты, векторные узоры, компьютерно-сгенерированный дизайн, сложная математическая точность"
Mechanical Pencil Mechanical | Механический механика,"механический рисунок механическим карандашом, точность технических деталей, детальная работа механизмов и шестеренок, изометрическая проекция, аннотации размеров, эстетика инженерной схемы, фон миллиметровой бумаги","художественная интерпретация, аниме стиль, мультяшные пропорции, цветовые заливки, экспрессивная техника кисти, эмоциональный рендеринг, свободные набросочные линии, органические формы, декоративные элементы"
Conte Cityscape | Контэ город,"городской пейзаж мелками контэ, атмосфера городской ночи, драматические силуэты зданий, интеграция текстуры зернистой бумаги, мастерство атмосферной перспективы, эффекты мрачного уличного освещения, романтическое городское настроение","яркие радостные цвета, аниме стиль, мультяшные пропорции, цветовые заливки, цифровые эффекты, гладкие градиенты, дневная сцена, фотореалистичный рендеринг, минимальная сложность текстуры"
Technical Organizational Chart | Техническая организационная схема,"иллюстрация организационной схемы, композиция диаграммы иерархии, система стрелок отношений, точность маркировки позиций, вариация чистых толщин линий, эстетика бизнес-презентации, фокус на профессиональной ясности","художественная интерпретация, аниме стиль, мультяшные пропорции, цветовые заливки, экспрессивная техника кисти, эмоциональный рендеринг, декоративные элементы, качество ручного наброска, эстетика случайного каракуля"
Graphite Botanical Study | Графитный ботаника,"ботаническое исследование графитом, точность научной детализации, детальная работа анатомии растений, прорисовка жилок листьев, маркировка поперечных сечений, эстетика винтажного гербария, интеграция текстуры бумаги","художественная интерпретация, аниме стиль, мультяшные пропорции, цветовые заливки, экспрессивная техника кисти, эмоциональный рендеринг, качество случайного наброска, цифровой рендеринг, яркие насыщенные цвета"
Charcoal Interior Study | Угольный интерьер,"исследование интерьера углем, драматические эффекты освещения комнаты, текстурированные поверхности стен, определение теней мебели, интеграция текстуры зерна бумаги, техника выделения ластиком для окон, атмосферная перспектива, мрачная домашняя атмосфера","яркие радостные цвета, аниме стиль, мультяшные пропорции, цветовые заливки, цифровые эффекты, гладкие градиенты, дневная сцена, фотореалистичный рендеринг, минимальная сложность текстуры"
Dip Pen Fable Illustration | Перо басня,"иллюстрация басни пером, фокус на нарративе басен Эзопа, детали выражений животных-персонажей, техника штриховки для затенения, эстетика винтажной детской книги, текстура пергамента, акцент на моральном повествовании","цифровое искусство, аниме стиль, мультяшные пропорции, цветовые заливки, гладкие градиенты, современные темы, современный стиль, 3D эффекты, контент для взрослых"
Sumi-e Mountain | Суми-э гора,"пейзаж гор суми-э, традиционная азиатская техника кисти, минимальное количество мазков, передача духовной сущности, мастерство градаций чернил, текстура рисовой бумаги, исследование философской пустоты","фотореалистичный рендеринг, аниме стиль, мультяшные пропорции, цветовые заливки, цифровые эффекты, детальные элементы переднего плана, гладкие градиенты, западная перспектива, яркие насыщенные цвета"
Fountain Pen Nature | Перо природа,"набросок природы чернильной ручкой, рисование на открытом воздухе, исследование деталей растений и пейзажа, быстрые жестовые мазки, текстура бумаги Moleskine, эстетика личного полевого журнала, эффекты перьевания чернил от влажности","цифровое искусство, аниме стиль, мультяшные пропорции, цветовые заливки, гладкие градиенты, студийное освещение, качество профессиональной иллюстрации, векторные линии, планируемая композиция"
Graphite City Detail | Графитный город детали,"детали города графитом, исследование архитектурного орнамента, точность фасадов зданий, прорисовка окон и дверей, точность падающих теней, видимая текстура зерна бумаги, наблюдение городской среды","фотореалистичная передача цвета, аниме стиль, мультяшные пропорции, цветовые заливки, цифровые эффекты, гладкие градиенты, яркая радостная атмосфера, векторные линии, минимальная детализация текстуры"
Charcoal Seascape | Угольный морской пейзаж,"морской пейзаж углем, драматические океанские волны, атмосфера штормовой погоды, интеграция текстуры зерна бумаги, техника выделения ластиком для морской пены, мастерство монохромных тонов, выражение эмоциональной силы природы","спокойные радостные цвета, аниме стиль, мультяшные пропорции, цветовые заливки, цифровые эффекты, гладкие градиенты, дневная мирная сцена, фотореалистичный рендеринг, минимальная сложность текстуры"
Dip Pen Allegorical | Перо аллегорический,"аллегорическая иллюстрация пером, символическое изображение фигур, темы классической мифологии, сложные узоры границ, техника штриховки для затенения, эстетика манускрипта эпохи Возрождения, текстура пергамента, фокус на философском значении","цифровое искусство, аниме стиль, мультяшные пропорции, цветовые заливки, гладкие градиенты, современные темы, современный стиль, 3D эффекты, буквальное представление, минимальный символизм"
Brush Ink Botanical | Кисть ботаника,"ботаническое исследование кистью и чернилами, экспрессивный захват формы растения, минимальное количество мазков, духовная сущность природы, градация монохромных тонов, эффекты поглощения рисовой бумаги, фокус на сезонной теме, эстетика медитативной практики","фотореалистичный рендеринг, аниме стиль, мультяшные пропорции, цветовые заливки, цифровые эффекты, детальная научная точность, гладкие градиенты, западная перспектива, яркие насыщенные цвета, планируемая композиция"
Ballpoint Pen Doodle | Шариковая каракули,"каракули шариковой ручкой, спонтанные рисунки на полях, исследование повторяющихся узоров, доминирующая текстура бумаги для записной книжки, выражение повседневного творчества, эстетика доступной техники, качество личного скетчбука","цифровое искусство, аниме стиль, мультяшные пропорции, цветовые заливки, гладкие градиенты, профессиональные инструменты, векторные линии, планируемая композиция, качество коммерческого искусства, дорогие материалы"
Mechanical Pencil Fashion | Механический мода,"модный скетч механическим карандашом, детали конструкции одежды, указание драпировки ткани, точность пропорций фигуры, основа кроя фигуры, линии спецификации дизайна, техника индустриального стандарта","художественная интерпретация, аниме стиль, мультяшные пропорции, цветовые заливки, экспрессивная техника кисти, эмоциональный рендеринг, свободные набросочные линии, качество случайного каракуля, цифровая раскраска, яркие насыщенные цвета"
Conte Portrait | Контэ портрет,"портрет мелками контэ, разделение теплых и холодных тонов, захват выразительного лица, интеграция текстуры зернистой бумаги, техника классического ателье, драматические эффекты освещения, фокус на эмоциональной атмосфере","фотореалистичная передача цвета, аниме стиль, мультяшные пропорции, цветовые заливки, цифровые эффекты, гладкие градиенты, яркие радостные цвета, минимальная детализация текстуры, эстетика планируемой композиции"
Technical Process Diagram | Техническая схема процесса,"иллюстрация схемы процесса, визуализация производственного рабочего процесса, последовательность шагов, стрелки взаимодействия компонентов, инженерная точность, вариация чистых толщин линий, эстетика инструкции","художественная интерпретация, аниме стиль, мультяшные пропорции, цветовые заливки, экспрессивная техника кисти, эмоциональный рендеринг, декоративные элементы, качество ручного наброска, эстетика случайного каракуля, органические формы"
