style_name,positive_prompt,negative_prompt
No Style | Без стиля,,
Canon EOS 5D Mark IV Недвижимость | Недвижимость Canon 5D Mark IV,"Canon EOS 5D Mark IV, объектив Canon TS-E 24mm f/3.5L II с наклоном-сдвигом, диафрагма f/8, выдержка 1/30s, ISO 200, HDR-бракетинг интерьеров, 3-точечная настройка освещения, архитектурная интерьерная фотография","искаженная перспектива, мультяшные комнаты, аниме стиль, иллюстрация, сходящиеся вертикали, плохое смешивание экспозиции"
Sony A9II Дикая природа | Дикая природа Sony A9II,"Sony A9II, объектив Sony FE 200-600mm f/5.6-6.3 G OSS на 600mm, диафрагма f/6.3, выдержка 1/1000s, ISO 800, естественное освещение среды обитания, автофокус по глазам животных, фотография дикой природы для охраны","видна клетка, мультяшные животные, аниме стиль, иллюстрация, размытие движения, плохая кадрировка"
Nikon Z9 Экшен фотография | Экшен Nikon Z9,"Nikon Z9, объектив Nikon Z 400mm f/2.8 TC VR S с удлинителем 1.4x, диафрагма f/4.0, выдержка 1/4000s, ISO 3200, замораживание быстрого движения, техника панорамирования, фотография автоспорта","размытие движения, мультяшные транспортные средства, аниме стиль, иллюстрация, размытый объект, плохое время"
Fujifilm GFX 100S Товар | Товар Fujifilm GFX 100S,"Fujifilm GFX 100S, объектив GF 110mm f/2 R LM WR, диафрагма f/5.6, выдержка 1/60s, ISO 100, студийная фотография товаров с лайт-тентом, контроль отражающих поверхностей, коммерческое качество для электронной коммерции","размыто, мультяшный товар, аниме стиль, иллюстрация, видны отпечатки пальцев, плохое освещение"
Leica SL2-S Автомобильная | Автомобиль Leica SL2-S,"Leica SL2-S, объектив APO-Summicron-SL 75mm f/2 ASPH, диафрагма f/8.0, выдержка 1/125s, ISO 100, автомобильная фотография в золотой час, поляризационный фильтр, совершенство отражающих поверхностей, качество для автомобильного журнала","грязный автомобиль, мультяшное транспортное средство, аниме стиль, иллюстрация, плохие отражения, любительское освещение"
Canon EOS R6 Макрофотография | Макро Canon EOS R6,"Canon EOS R6, объектив Canon RF 100mm f/2.8L Macro IS USM, диафрагма f/5.6, выдержка 1/60s, ISO 200, специальная кольцевая вспышка для макросъемки, соотношение увеличения 1:1, фотография деталей насекомых","размыто, мультяшные насекомые, аниме стиль, иллюстрация, вне фокуса, плохое освещение"
Sony A7III Фотография еды | Еда Sony A7III,"Sony A7III, объектив Sony FE 90mm f/2.8 Macro G OSS, диафрагма f/4.0, выдержка 1/125s, ISO 200, естественный свет из окна с рассеивающей панелью, стилизация еды, фотография для ресторанного меню","размыто, мультяшная еда, аниме стиль, иллюстрация, плохая стилизация, непривлекательный вид"
Nikon D6 Спортивная журналистика | Спортивный журнализм Nikon D6,"Nikon D6, объектив Nikon AF-S NIKKOR 300mm f/2.8E FL ED VR, диафрагма f/4.0, выдержка 1/2000s, ISO 1600, освещение пресс-бокса, стиль фотожурналистики, последовательность действий","размытие движения, мультяшные спортсмены, аниме стиль, иллюстрация, перегруженный кадр, плохое время"
Hasselblad 907X Астрофотография | Астро Hasselblad 907X,"Hasselblad 907X, объектив XCD 21mm f/4, диафрагма f/4.0, выдержка 60 секунд, ISO 3200, экваториальный монтаж с трекингом, глубокая астрофотография, детали туманностей","световое загрязнение, мультяшные звезды, аниме стиль, иллюстрация, следы звезд, плохой трекинг"
Pentax K-1 II Пейзаж | Пейзаж Pentax K-1 II,"Pentax K-1 II, объектив HD Pentax-D FA 15-30mm f/2.8 ED SDM WR на 15mm, диафрагма f/11, выдержка 4 секунды, ISO 100, Lee Filters 6-stop ND, прибрежная морская пейзажная фотография","размытая вода, мультяшный океан, аниме стиль, иллюстрация, плохое выравнивание горизонта, хроматические аберрации"
Canon EOS RP Семейный портрет | Семейный портрет Canon EOS RP,"Canon EOS RP, объектив Canon RF 50mm f/1.2L USM, диафрагма f/2.8, выдержка 1/125s, ISO 400, наружная тень с заполняющей вспышкой, естественное взаимодействие семьи, жизненная фотография","жесткая поза, мультяшная семья, аниме стиль, иллюстрация, резкие тени, плохие выражения"
Sony A7C Городское исследование | Городской Sony A7C,"Sony A7C, объектив Sony FE 28mm f/2, диафрагма f/5.6, выдержка 1/125s, ISO 800, фотография городского упадка при естественном освещении, документальный стиль, эстетика гранжа","поставленные снимки, мультяшные здания, аниме стиль, иллюстрация, переобработка, фальшивый упадок"
Nikon Z6II Концертная фотография | Концерт Nikon Z6II,"Nikon Z6II, объектив Nikon Z 24-70mm f/2.8 S на 35mm, диафрагма f/2.8, выдержка 1/60s, ISO 6400, только сценическое освещение, без вспышки, фотография музыкальных выступлений, управление шумом при высоком ISO","размытый исполнитель, мультяшная толпа, аниме стиль, иллюстрация, фотография со вспышкой, плохое время"
Fujifilm X-Pro3 Документальный | Документальный Fujifilm X-Pro3,"Fujifilm X-Pro3, объектив Fujinon XF 16mm f/1.4 R WR, диафрагма f/2.8, выдержка 1/60s, ISO 1600, фотожурналистика при естественном освещении, имитация пленки Acros, структура зерна","цифровой вид, мультяшные сюжеты, аниме стиль, иллюстрация, искусственное освещение, переобработка"
Leica Q2 Уличная фотография | Уличный Leica Q2,"Leica Q2, объектив Summilux 28mm f/1.7 ASPH, диафрагма f/2.0, выдержка 1/125s, ISO 400, техника зонной фокусировки, уличная фотография решающего момента, эстетика Leica","поставленные уличные сцены, мультяшные люди, аниме стиль, иллюстрация, медленная выдержка, размытие движения"
Canon EOS 1D X Mark III Дикая природа | Дикая природа Canon 1D X Mark III,"Canon EOS 1D X Mark III, объектив Canon EF 600mm f/4L IS III USM с удлинителем 1.4x, диафрагма f/5.6, выдержка 1/1000s, ISO 800, условия освещения сафари, фотография поведения животных","видна клетка зоопарка, мультяшные животные, аниме стиль, иллюстрация, размытие движения, плохой контакт глаз"
Sony A7RV Высокое разрешение | Высокое разрешение Sony A7RV,"Sony A7RV, объектив Sony FE 50mm f/1.2 GM, диафрагма f/8.0, выдержка 1/125s, ISO 100, режим пиксель-шифта, пейзажная детализация, разрешение 61MP","размытые детали, мультяшный пейзаж, аниме стиль, иллюстрация, чрезмерное шумоподавление, плохая резкость"
Nikon D5 Студийный портрет | Студийный портрет Nikon D5,"Nikon D5, объектив Nikon AF-S NIKKOR 85mm f/1.4G, диафрагма f/2.8, выдержка 1/125s, ISO 100, стробоскопы Profoto B10 Plus с октабоксом и контровым светом, профессиональная фотография головы","резкие тени, мультяшное лицо, аниме стиль, иллюстрация, плохая ретушь кожи, любительское освещение"
Fujifilm X-H2S Экшен | Экшен Fujifilm X-H2S,"Fujifilm X-H2S, объектив XF 16-55mm f/2.8 R LM WR на 55mm, диафрагма f/2.8, выдержка 1/1000s, ISO 800, режим высокоскоростной серийной съемки, замораживание спортивных действий, имитация пленки","размытие движения, мультяшные спортсмены, аниме стиль, иллюстрация, медленная выдержка, плохое время"
Hasselblad X1D II Товар | Товар Hasselblad X1D II,"Hasselblad X1D II 50C, объектив XCD 45mm f/4, диафрагма f/5.6, выдержка 1/60s, ISO 100, студийная фотография товаров с фокус-стекингом, детали ювелирных изделий, коммерческое качество","размытые детали, мультяшный товар, аниме стиль, иллюстрация, отпечатки пальцев, плохая настройка освещения"
Pentax 645N Имитация пленки | Пленка Pentax 645N,"Pentax 645N, объектив SMC Pentax-FA 645 45-85mm f/4.5 на 60mm, диафрагма f/8.0, выдержка 1/125s, имитация пленки Portra 400, портретная фотография при естественном освещении, структура зерна","цифровой вид, мультяшный портрет, аниме стиль, иллюстрация, переобработка, фальшивое зерно"
Canon EOS R7 Дикая природа | Дикая природа Canon EOS R7,"Canon EOS R7, объектив Canon RF 100-500mm f/4.5-7.1L IS USM на 500mm, диафрагма f/7.1, выдержка 1/1000s, ISO 800, преимущество кроп-сенсора, фотография птиц, трекинг глаз животных","размытый объект, мультяшные птицы, аниме стиль, иллюстрация, видна клетка, плохая кадрировка"
Sony A6400 Фотография путешествий | Путешествия Sony A6400,"Sony A6400, объектив Sony E 16-55mm f/2.8 G на 24mm, диафрагма f/5.6, выдержка 1/125s, ISO 400, стиль документальной фотографии путешествий, погружение в культуру, естественное освещение","туристический клише, мультяшные люди, аниме стиль, иллюстрация, фотография со вспышкой, постановочные моменты"
Nikon Z fc Винтажный стиль | Винтаж Nikon Z fc,"Nikon Z fc, объектив NIKKOR Z 28mm f/2.8 (SE), диафрагма f/2.8, выдержка 1/125s, ISO 400, имитация пленки Kodak Portra 400, винтажная эстетика, эффект световых утечек","современный цифровой вид, мультяшные сюжеты, аниме стиль, иллюстрация, переобработка, фальшивый винтаж"
Fujifilm X100V Уличная жизнь | Уличная жизнь Fujifilm X100V,"Fujifilm X100V, фиксированный объектив 23mm f/2, диафрагма f/4.0, выдержка 1/250s, ISO 400, документальный стиль уличной фотографии, имитация пленки, естественное освещение","поставленные сюжеты, мультяшная улица, аниме стиль, иллюстрация, фотография со вспышкой, размытие движения"
Leica M6 Классика пленки | Классика пленки Leica M6,"Leica M6, объектив Summicron-M 50mm f/2, диафрагма f/2.8, выдержка 1/60s, имитация пленки Tri-X 400, фотография при естественном освещении, структура зерна, классическая эстетика","цифровой вид, мультяшные сюжеты, аниме стиль, иллюстрация, переобработка, шумоподавление"
Canon EOS M50 Влоггинг | Влоггинг Canon EOS M50,"Canon EOS M50, объектив EF-M 15-45mm f/3.5-6.3 IS STM на 24mm, диафрагма f/4.0, выдержка 1/60s, ISO 800, настройка кольцевого света, создание контента для социальных сетей, эстетика влоггера","размытый кадр видео, мультяшные персонажи, аниме стиль, иллюстрация, плохое освещение, любительская композиция"
Sony ZV-1 Создание контента | Контент Sony ZV-1,"Sony ZV-1, фиксированный объектив 24-70mm эквивалент f/1.8-2.8 на 35mm, диафрагма f/2.8, выдержка 1/125s, ISO 400, настройка освещения для демонстрации товаров, фотография для социальных медиа-инфлюенсеров","размытый фон, мультяшные товары, аниме стиль, иллюстрация, плохой фокус, любительское освещение"
Nikon D3500 Для начинающих | Для начинающих Nikon D3500,"Nikon D3500, объектив AF-P DX NIKKOR 18-55mm f/3.5-5.6G VR на 35mm, диафрагма f/5.6, выдержка 1/125s, ISO 200, автоматический режим фотографии, семейные снимки, обучение фотографии","размытые фото, мультяшные сюжеты, аниме стиль, иллюстрация, плохая экспозиция, размытие движения"
Olympus OM-D E-M1 III Micro Four Thirds | Micro Four Thirds Olympus OM-D E-M1 III,"Olympus OM-D E-M1 III, объектив M.Zuiko Digital ED 12-40mm f/2.8 PRO на 25mm, диафрагма f/4.0, выдержка 1/125s, ISO 200, преимущество встроенного стабилизатора, фотография путешествий","размытая съемка с рук, мультяшный пейзаж, аниме стиль, иллюстрация, плохая стабилизация, шум"
Panasonic S1R Высокое разрешение | Высокое разрешение Panasonic S1R,"Panasonic S1R, объектив Lumix S PRO 50mm f/1.4, диафрагма f/8.0, выдержка 1/125s, ISO 100, разрешение 47.3MP, детализация пейзажей, фокус-стекинг","размытые детали, мультяшный пейзаж, аниме стиль, иллюстрация, чрезмерное шумоподавление, плохая резкость"
Canon PowerShot G7 X III Компактный | Компакт Canon PowerShot G7 X III,"Canon PowerShot G7 X III, объектив 24-100mm эквивалент f/1.8-2.8 на 35mm, диафрагма f/2.8, выдержка 1/125s, ISO 400, компактная фотография путешествий, документальный стиль уличной жизни","размытый вид компактной камеры, мультяшные сюжеты, аниме стиль, иллюстрация, плохая работа при слабом освещении, шум"
Sony RX100 VII Премиум компакт | Премиум компакт Sony RX100 VII,"Sony RX100 VII, объектив 24-200mm эквивалент f/2.8-4.5 на 50mm, диафрагма f/4.0, выдержка 1/125s, ISO 200, премиальная компактная фотография, освещение мероприятий","размытый зум, мультяшные сюжеты, аниме стиль, иллюстрация, плохая работа при слабом освещении, шум на высоком ISO"
Nikon COOLPIX P1000 Суперзум | Суперзум Nikon COOLPIX P1000,"Nikon COOLPIX P1000, объектив 24-3000mm эквивалент на 1000mm, диафрагма f/8.0, выдержка 1/500s, ISO 400, фотография птиц с дистанции, преимущество суперзума","размытый телеобъектив, мультяшные птицы, аниме стиль, иллюстрация, тряска камеры, плохое качество изображения"
Fujifilm XP150 Водонепроницаемый | Водонепроницаемый Fujifilm XP150,"Fujifilm XP150, объектив 28-140mm эквивалент f/3.9-4.9 на 35mm, диафрагма f/5.6, выдержка 1/125s, ISO 200, подводная фотография на глубине 10м, пляжный отдых","размытая подводная фотография, мультяшные морские обитатели, аниме стиль, иллюстрация, плохой водонепроницаемый корпус, конденсация"
GoPro HERO11 Экшен | Экшен GoPro HERO11,"GoPro HERO11, фиксированный широкоугольный объектив, диафрагма f/2.8, выдержка 1/240s, ISO 200, кадр из видеосъемки горного велосипеда от первого лица, экшн-спорт фотография, коррекция дисторсии","размытое действие, мультяшные виды спорта, аниме стиль, иллюстрация, чрезмерный эффект рыбьего глаза, плохая стабилизация"
DJI Mavic 3 Аэрофотосъемка | Аэро DJI Mavic 3,"DJI Mavic 3, матрица Hasselblad 4/3 CMOS, объектив 24mm эквивалент f/2.8, диафрагма f/5.6, выдержка 1/125s, ISO 100, аэрофотосъемка пейзажей, золотой час с дрона","размытое фото с дрона, мультяшный пейзаж, аниме стиль, иллюстрация, видны пропеллеры, плохая композиция"
Insta360 X3 360-градусный | 360-градусный Insta360 X3,"Insta360 X3, два сенсора 1/2-дюйма, 360-градусная фотография, диафрагма f/2.0, выдержка 1/125s, ISO 200, иммерсивная фотография, создание виртуальных туров","размытая 360-градусная фотография, мультяшная среда, аниме стиль, иллюстрация, ошибки склейки, плохая перспектива"
Canon EOS R5 C Кинематограф | Кинематограф Canon EOS R5 C,"Canon EOS R5 C, объектив Canon RF 35mm f/1.8 IS Macro STM, диафрагма f/2.8, выдержка 1/50s, ISO 800, настройка кинематографического освещения, малая глубина резкости, цветокоррекция в стиле фильма","размытое кино, мультяшный фильм, аниме стиль, иллюстрация, плохая цветокоррекция, любительское освещение"
Blackmagic Pocket Cinema 6K Pro Кино | Кино Blackmagic,"Blackmagic Pocket Cinema 6K Pro, объектив Sigma 18-35mm f/1.8 DC HSM Art, диафрагма f/2.0, выдержка 1/48s, ISO 400, профессиональное кинематографическое освещение, эффект анаморфной бликов","размытое кино, мультяшный фильм, аниме стиль, иллюстрация, плохой перебор фокуса, любительская кинематография"
RED Komodo 6K Профессиональное видео | Видео RED Komodo,"RED Komodo 6K, объектив Canon EF 50mm f/1.2L USM, диафрагма f/2.0, выдержка 1/50s, ISO 800, освещение профессиональной киноплощадки, кинематографическая цветокоррекция, малая глубина резкости","размытый кадр видео, мультяшный фильм, аниме стиль, иллюстрация, плохая производственная ценность, любительская настройка"
ARRI ALEXA Mini LF Кино | Кино ARRI,"ARRI ALEXA Mini LF, объектив ARRI Master Prime 50mm T1.3, диафрагма f/2.0, выдержка 1/48s, ISO 800, профессиональная киноплощадка освещения, кинематографический вид, совершенство оттенков кожи","размытое кино, мультяшный фильм, аниме стиль, иллюстрация, плохое освещение, любительская кинематография"
Phase One IQ4 150MP Технический | Технический Phase One,"Phase One IQ4 150MP, объектив Schneider Kreuznach 80mm f/2.8 LS, диафрагма f/8.0, выдержка 1/30s, ISO 50, студийная фотография товаров, фокус-стекинг, детализация 151 мегапикселя","размытая техническая фотография, мультяшный товар, аниме стиль, иллюстрация, плохой фокус-стекинг, шум"
Hasselblad H6D-400c MS Мультишот | Мультишот Hasselblad,"Hasselblad H6D-400c MS, объектив HC 100mm f/2.2, диафрагма f/5.6, выдержка 1/60s, ISO 50, мультишот-фотография высокого разрешения, качество воспроизведения искусства, эквивалент 400MP","размытый мультишот, мультяшное искусство, аниме стиль, иллюстрация, плохое выравнивание, ошибки склейки"
Leica S3 Средний формат | Средний формат Leica S3,"Leica S3, объектив Leica TS-APO-ELMAR-S 1:5.6/120mm ASPH, диафрагма f/8.0, выдержка 1/125s, ISO 100, пейзажная фотография в среднем формате, исключительная детализация","размытый средний формат, мультяшный пейзаж, аниме стиль, иллюстрация, плохая детализация, шум"
Pentax 645Z Студия | Студия Pentax 645Z,"Pentax 645Z, объектив D FA 645 55mm f/2.8 AL SDM AW, диафрагма f/5.6, выдержка 1/125s, ISO 100, студийная портретная фотография, текстура кожи в среднем формате, коммерческое качество","размытая студийная фотография, мультяшный портрет, аниме стиль, иллюстрация, плохое освещение, любительская ретушь"
Canon EOS R5 Распознавание глаз животных | Глаза животных Canon EOS R5,"Canon EOS R5, объектив Canon RF 70-200mm f/2.8L IS USM на 200mm, диафрагма f/4.0, выдержка 1/1000s, ISO 800, трекинг автофокуса по глазам животных, фотография поведения дикой природы","размытые глаза животных, мультяшные животные, аниме стиль, иллюстрация, плохой фокус, видна клетка"
Sony A7IV Распознавание объектов | Распознавание Sony A7IV,"Sony A7IV, объектив Sony FE 85mm f/1.4 GM, диафрагма f/2.0, выдержка 1/125s, ISO 400, AI-распознавание объектов в автофокусе, фотография мероприятий, надежный трекинг фокуса","размытое распознавание объектов, мультяшные люди, аниме стиль, иллюстрация, плохой трекинг фокуса, пропущенные кадры"
Nikon Z9 3D Трекинг | 3D трекинг Nikon Z9,"Nikon Z9, объектив Nikon Z 70-200mm f/2.8 VR S на 200mm, диафрагма f/2.8, выдержка 1/2000s, ISO 1600, 3D-трекинг фокуса, спортивная экшен-фотография, высокоскоростная серийная съемка","размытый трекинг, мультяшные виды спорта, аниме стиль, иллюстрация, плохой трекинг фокуса, размытие движения"
Fujifilm X-H2 Пиксель-шифт | Пиксель-шифт Fujifilm X-H2,"Fujifilm X-H2, объектив XF 33mm f/1.4 R LM WR, диафрагма f/5.6, выдержка 1/60s, ISO 100, режим пиксель-шифта, детализация пейзажей, выход высокого разрешения","размытый пиксель-шифт, мультяшный пейзаж, аниме стиль, иллюстрация, плохое выравнивание, артефакты склейки"
Leica SL2-S Высокий ISO | Высокий ISO Leica SL2-S,"Leica SL2-S, объектив APO-Summicron-SL 35mm f/2 ASPH, диафрагма f/2.8, выдержка 1/60s, ISO 12800, фотожурналистика при естественном освещении, управление производительностью при высоком ISO, структура зерна","размытый высокий ISO, мультяшные сюжеты, аниме стиль, иллюстрация, чрезмерное шумоподавление, пластиковая кожа"
Canon EOS R6 II Стабилизация | Стабилизация Canon EOS R6 II,"Canon EOS R6 II, объектив Canon RF 24-105mm f/4L IS USM на 105mm, диафрагма f/4.0, выдержка 1/30s, ISO 800, встроенная стабилизация изображения, съемка с рук при слабом освещении","размытая стабилизация, мультяшная ночь, аниме стиль, иллюстрация, тряска камеры, плохая стабилизация"
Sony A7S III Звездный свет | Звездный свет Sony A7S III,"Sony A7S III, объектив Sony FE 20mm f/1.8 G, диафрагма f/1.8, выдержка 20 секунд, ISO 6400, астрофотография с датчиком звездного света, фотография Млечного Пути, минимальный шум","размытые звезды, мультяшное ночное небо, аниме стиль, иллюстрация, световое загрязнение, чрезмерный шум"
Nikon Z8 Гибридный съемщик | Гибрид Nikon Z8,"Nikon Z8, объектив Nikon Z 24-70mm f/2.8 S на 50mm, диафрагма f/2.8, выдержка 1/125s, ISO 400, гибридная фото-видео съемка, освещение мероприятий, профессиональный рабочий процесс","размытый гибрид, мультяшное мероприятие, аниме стиль, иллюстрация, плохое переключение, любительская настройка"
Fujifilm GFX 50S II GFX 50S II | GFX 50S II Fujifilm,"Fujifilm GFX 50S II, объектив GF 45mm f/2.8 R WR, диафрагма f/5.6, выдержка 1/125s, ISO 100, портретная фотография в среднем формате, совершенство текстуры кожи, цветовая наука Fujifilm","размытый средний формат, мультяшный портрет, аниме стиль, иллюстрация, плохая цветокоррекция, шум"
Hasselblad X2D 100C X2D 100C | X2D 100C Hasselblad,"Hasselblad X2D 100C, объектив XCD 30mm f/3.5, диафрагма f/8.0, выдержка 1/60s, ISO 100, фотография в среднем формате 100MP, детали архитектуры, контроль перспективы","размытый 100MP, мультяшная архитектура, аниме стиль, иллюстрация, плохая детализация, шум"
Pentax K-3 III K-3 III | K-3 III Pentax,"Pentax K-3 III, объектив HD Pentax-D FA 24-70mm f/2.8 ED SDM WR на 50mm, диафрагма f/4.0, выдержка 1/125s, ISO 800, высокопроизводительная фотография APS-C, съемка в погодных условиях","размытый APS-C, мультяшные сюжеты, аниме стиль, иллюстрация, плохая защита от погоды, пятна от пыли"
Canon EOS R7 Преимущество кроп-сенсора | Кроп-сенсор Canon EOS R7,"Canon EOS R7, объектив Canon RF-S 18-150mm f/3.5-6.3 IS STM на 150mm, диафрагма f/6.3, выдержка 1/1000s, ISO 800, фотография дикой природы на кроп-сенсоре, преимущество приближения, птица в полете","размытый кроп-сенсор, мультяшные птицы, аниме стиль, иллюстрация, плохое приближение, шум на высоком ISO"
Sony A6700 Флагман APS-C | Флагман APS-C Sony A6700,"Sony A6700, объектив Sony E 16-55mm f/2.8 G на 35mm, диафрагма f/4.0, выдержка 1/125s, ISO 400, высокопроизводительная фотография APS-C, профессиональная фотография путешествий, AI-автофокус","размытый флагман APS-C, мультяшное путешествие, аниме стиль, иллюстрация, плохой автофокус, любительская композиция"
Nikon Z50 Входной беззеркальный | Входной беззеркальный Nikon Z50,"Nikon Z50, объектив NIKKOR Z DX 16-50mm f/3.5-5.6 VR на 35mm, диафрагма f/5.6, выдержка 1/125s, ISO 400, входная беззеркальная фотография, удобство для начинающих, автоматические режимы","размытая входная камера, мультяшный начинающий, аниме стиль, иллюстрация, плохое качество изображения, шум"
Fujifilm X-T5 Ретро-цифровой | Ретро-цифровой Fujifilm X-T5,"Fujifilm X-T5, объектив XF 23mm f/1.4 R LM WR, диафрагма f/2.8, выдержка 1/125s, ISO 400, ретро-цифровой дизайн, фотография с имитацией пленки, опыт механических колец","размытый ретро-дизайн, мультяшные кольца, аниме стиль, иллюстрация, плохая эргономика, фальшивый винтаж"
Panasonic GH6 Гибрид видео | Гибрид видео Panasonic GH6,"Panasonic GH6, объектив Lumix G VARIO 12-35mm f/2.8 II на 25mm, диафрагма f/4.0, выдержка 1/125s, ISO 400, гибридная фото-видео фотография Micro Four Thirds, профессиональные кадры из видео","размытый видео-гибрид, мультяшное видео, аниме стиль, иллюстрация, плохое качество стоп-кадров, шум"
Olympus OM-1 ИИ-фотография | ИИ-фотография Olympus OM-1,"Olympus OM-1, объектив M.Zuiko Digital ED 12-40mm f/2.8 PRO на 25mm, диафрагма f/4.0, выдержка 1/125s, ISO 400, фотография с детектированием объектов ИИ, преимущества вычислительной фотографии","размытая ИИ-фотография, мультяшный ИИ, аниме стиль, иллюстрация, фальшивые вычислительные эффекты, плохая обработка"
Canon EOS R50 Бюджетный | Бюджетный Canon EOS R50,"Canon EOS R50, объектив RF-S 18-45mm f/4.5-6.3 IS STM на 35mm, диафрагма f/5.6, выдержка 1/125s, ISO 400, недорогая беззеркальная摄影ия, обучение фотографии, автоматические режимы","размытая бюджетная камера, мультяшный начинающий, аниме стиль, иллюстрация, плохое качество изображения, шум на высоком ISO"
Sony ZV-E10 Создатель контента | Создатель контента Sony ZV-E10,"Sony ZV-E10, объектив Sony E 16-50mm f/3.5-5.6 OSS на 35mm, диафрагма f/4.0, выдержка 1/125s, ISO 400, фотография создателя контента, стоп-кадры из влогов, оптимизация для социальных сетей","размытый создатель контента, мультяшный инфлюенсер, аниме стиль, иллюстрация, плохое освещение, любительская настройка"
Nikon Z30 Влоггинг | Влоггинг Nikon Z30,"Nikon Z30, объектив NIKKOR Z DX 16-50mm f/3.5-5.6 VR на 35mm, диафрагма f/4.0, выдержка 1/125s, ISO 400, влоггинг-фотография, создание контента для социальных сетей, компактный дизайн","размытый влоггинг, мультяшный влогер, аниме стиль, иллюстрация, плохая стабилизация, любительское освещение"
Fujifilm X-E4 Минималист | Минималист Fujifilm X-E4,"Fujifilm X-E4, объектив XF 27mm f/2.8, диафрагма f/4.0, выдержка 1/125s, ISO 400, минималистичный дизайн фотографии, компактная уличная фотография, рабочий процесс с имитацией пленки","размытый минимализм, мультяшный компакт, аниме стиль, иллюстрация, плохая эргономика, фальшивый минимализм"
Leica CL Компакт-люкс | Компакт-люкс Leica CL,"Leica CL, объектив APO-ELMARIT-SL 35mm f/2.8 ASPH, диафрагма f/4.0, выдержка 1/125s, ISO 400, компактная роскошная фотография, совместимость с байонетом Leica M, премиальное качество сборки","размытый роскошный компакт, мультяшная Leica, аниме стиль, иллюстрация, плохое соотношение цены и качества, фальшивая роскошь"
